keys,en
AREA.TEST.AREA_BX,"Area Bravo X-ray"
AREA.TEST.CANYON,"Canyon"
AREA.UNKNOWN,"???"
BUTTON.ACCESSIBILITY_SETTINGS,"Accessibility settings"
BUTTON.ADVANCED_SETTINGS,"Advanced settings"
BUTTON.AUDIO_SETTINGS,"Audio settings"
BUTTON.CONTINUE_GAME,"Continue"
BUTTON.CONTROLS,"Controls"
BUTTON.CREDITS,"Credits"
BUTTON.DEBUG.LOAD_CHECKPOINT,"Load last checkpoint (debug)"
BUTTON.DEBUG.QUICK_LOAD,"Quick-load (debug)"
BUTTON.DEBUG.QUICK_SAVE,"Quick-save (debug)"
BUTTON.DEVLOG,"Devlog"
BUTTON.DIALOG.CONTINUE,"Continue ({mapping})"
BUTTON.DISPLAY_SETTINGS,"Display settings"
BUTTON.FLUSH_NIGHTSCRIPT_CACHE,"Flush NightScript cache"
BUTTON.GAME_OVER_RETRY,"Retry"
BUTTON.GO_BACK,"Go back"
BUTTON.LANGUAGE_SETTINGS,"Language settings"
BUTTON.NEW_GAME,"New game"
BUTTON.QUIT_GAME,"Quit"
BUTTON.QUIT_TO_MAIN_MENU,"Quit to main menu"
BUTTON.RESET_CONTROLS,"Reset controls"
BUTTON.RESULTS_CONTINUE,"Continue"
BUTTON.RESUME_GAME,"Continue"
BUTTON.SETTINGS,"Settings"
CHECKBOX.ACCESSIBILITY.LEGIBLE_FONT,"Use legible font"
CHECKBOX.ACCESSIBILITY.NEVER_GAME_OVER,"Never game over"
CHECKBOX.ACCESSIBILITY.REDUCED_MOTION,"Reduce motion"
CHECKBOX.ACCESSIBILITY.TOOLTIPS,"Show tooltips"
CHECKBOX.ADVANCED.READABLE_SAVES,"Create readable saves"
CHECKBOX.AUDIO.MUTE,"Mute"
CHECKBOX.DEBUG.OPTIMIZE_NIGHTSCRIPT,"Optimize NightScript (debug)"
CHECKBOX.DISPLAY.DISPLAY_BARKS,"Display bark subtitles"
CHECKBOX.DISPLAY.FULLSCREEN,"Fullscreen"
CHECKBOX.DISPLAY.PIXEL_SNAP,"Use pixel snapping"
CHECKBOX.DISPLAY.VSYNC,"Use vsync"
CONTROL.ACTION.CHANGE_PLAYER,"Change player"
CONTROL.ACTION.INTERACT,"Interact"
CONTROL.ACTION.MOVE_DOWN,"Move down"
CONTROL.ACTION.MOVE_LEFT,"Move left"
CONTROL.ACTION.MOVE_RIGHT,"Move right"
CONTROL.ACTION.MOVE_UP,"Move up"
CONTROL.ACTION.PAUSE,"Pause"
CONTROL.ACTION.TOGGLE_FULLSCREEN,"Toggle fullscreen"
CONTROL.WAIT,"Press any input..."
FLOATING_TEXT.SAVED,"Progress saved!"
FLOATING_TEXT.TEST.ARCHIVAL_UNIT,"Archival unit"
HEADING.ACCESSIBILITY_SETTINGS,"Accessibility Settings"
HEADING.ADVANCED_SETTINGS,"Advanced Settings"
HEADING.AUDIO_SETTINGS,"Audio Settings"
HEADING.CONTROLS,"Controls"
HEADING.DISPLAY_SETTINGS,"Display Settings"
HEADING.GAME_OVER,"Game Over"
HEADING.LANGUAGE_SETTINGS,"Language Settings"
HEADING.PAUSE_QUIT,"Are you sure you want to quit?\nAny unsaved progress will be lost!"
HEADING.PAUSED,"Paused"
HEADING.RESULTS,"Results"
HEADING.SETTINGS,"Settings"
INPUT.JOYPAD_MOTION.NEGATIVE,"{string} -"
INPUT.JOYPAD_MOTION.POSITIVE,"{string} +"
INPUT.MOUSE_BUTTON.LEFT,"Left click"
INPUT.MOUSE_BUTTON.MIDDLE,"Middle click"
INPUT.MOUSE_BUTTON.RIGHT,"Right click"
INPUT.MOUSE_BUTTON.UNKNOWN,"Mouse button {button_index}"
INPUT.MOUSE_BUTTON.WHEEL_DOWN,"Scroll down"
INPUT.MOUSE_BUTTON.WHEEL_LEFT,"Scroll left"
INPUT.MOUSE_BUTTON.WHEEL_RIGHT,"Scroll right"
INPUT.MOUSE_BUTTON.WHEEL_UP,"Scroll up"
INPUT.MOUSE_BUTTON.XBUTTON1,"Extra click 1"
INPUT.MOUSE_BUTTON.XBUTTON2,"Extra click 2"
INPUT.UNKNOWN,"Unknown input"
LABEL.STAT.ALERT_COUNT,"Alerts:"
LABEL.STAT.TIME,"Time taken:"
LABEL.VERSION,"Version 0.7.0"
LEVEL.TEST.AREA_BX.HUB,"Hub elevator"
LEVEL.TEST.AREA_BX.NORTH,"Storage wing"
LEVEL.TEST.AREA_BX.NORTH_ANNEX,"NightScript test level"
LEVEL.TEST.AREA_BX.WEST,"Robotics lab"
LEVEL.TEST.AREA_BX.WEST_ANNEX,"Robotics lab annex"
LEVEL.TEST.CANYON.EXTRACT,"Extraction point"
LEVEL.UNKNOWN,"???"
OPTION.ACCESSIBILITY.COLOR_GRADING,"Color grading"
OPTION.ACCESSIBILITY.COLOR_GRADING.DEUTERANOPIA,"Deuteranopia"
OPTION.ACCESSIBILITY.COLOR_GRADING.HIGH_CONTRAST,"High contrast"
OPTION.ACCESSIBILITY.COLOR_GRADING.NONE,"None"
OPTION.ACCESSIBILITY.COLOR_GRADING.PROTANOPIA,"Protanopia"
OPTION.ACCESSIBILITY.COLOR_GRADING.SWAP_RGB_BGR,"Swap RGB/BGR"
OPTION.ACCESSIBILITY.COLOR_GRADING.SWAP_RGB_BRG,"Swap RGB/BRG"
OPTION.ACCESSIBILITY.COLOR_GRADING.SWAP_RGB_GBR,"Swap RGB/GBR"
OPTION.ACCESSIBILITY.COLOR_GRADING.TRITANOPIA,"Tritanopia"
OPTION.DISPLAY.SCALE_MODE,"Scaling mode"
OPTION.DISPLAY.SCALE_MODE.ASPECT,"Letterboxed"
OPTION.DISPLAY.SCALE_MODE.PIXEL,"Pixel-perfect"
OPTION.DISPLAY.SCALE_MODE.STRETCH,"Stretched"
OPTION.DISPLAY.WINDOW_SCALE,"Window scale"
OPTION.LANGUAGE.LOCALE,"Language"
OPTION.LANGUAGE.LOCALE.EN,"English"
OPTION.NONE,"N/A"
SLIDER.ACCESSIBILITY.PAUSE_OPACITY,"Pause menu opacity"
SLIDER.ACCESSIBILITY.RADAR_OPACITY,"Radar opacity"
SLIDER.ACCESSIBILITY.RADAR_SCALE,"Radar scale"
SLIDER.AUDIO.MASTER_VOLUME,"Master volume"
SLIDER.AUDIO.MUSIC_VOLUME,"Music volume"
SLIDER.AUDIO.SFX_VOLUME,"Sound effects volume"
SUBTITLE.BARK.LOST,"Nothing here..."
SUBTITLE.BARK.SEEN,"Someone's here!"
SUBTITLE.BARK.SUSPICIOUS,"What was that?"
TOOLTIP.BUTTON.ACCESSIBILITY_SETTINGS,"Make the game more accessible."
TOOLTIP.BUTTON.ADVANCED_SETTINGS,"Change technical settings."
TOOLTIP.BUTTON.AUDIO_SETTINGS,"Change the volume."
TOOLTIP.BUTTON.CONTINUE_GAME,"Continue the game from your saved progress."
TOOLTIP.BUTTON.CONTROLS,"Change the controls."
TOOLTIP.BUTTON.CREDITS,"View the game's credits."
TOOLTIP.BUTTON.DEBUG.LOAD_CHECKPOINT,"Load the game from the last checkpoint."
TOOLTIP.BUTTON.DEBUG.QUICK_LOAD,"Load the game from the last saved progress."
TOOLTIP.BUTTON.DEBUG.QUICK_SAVE,"Save your progress immediately."
TOOLTIP.BUTTON.DEVLOG,"View a devlog for Coldest Night."
TOOLTIP.BUTTON.DISPLAY_SETTINGS,"Change how the game is displayed."
TOOLTIP.BUTTON.FLUSH_NIGHTSCRIPT_CACHE,"Clear the NightScript program cache."
TOOLTIP.BUTTON.GAME_OVER_RETRY,"Retry from the last checkpoint."
TOOLTIP.BUTTON.GO_BACK,"Exit the current menu."
TOOLTIP.BUTTON.GO_BACK.FROM_SETTINGS,"Exit the settings menu."
TOOLTIP.BUTTON.GO_BACK.SETTINGS,"Go back to the settings menu."
TOOLTIP.BUTTON.NEW_GAME,"Start a new game."
TOOLTIP.BUTTON.QUIT_GAME,"Quit to the desktop."
TOOLTIP.BUTTON.QUIT_TO_MAIN_MENU,"Quit to the main menu."
TOOLTIP.BUTTON.RESET_CONTROLS,"Reset all controls to their defaults."
TOOLTIP.BUTTON.RESULTS_CONTINUE,"Confirm your results."
TOOLTIP.BUTTON.RESUME_GAME,"Unpause and continue the game."
TOOLTIP.BUTTON.RESUME_GAME.DO_NOT_QUIT,"Do not quit the game."
TOOLTIP.BUTTON.SETTINGS,"Change the game's settings."
TOOLTIP.CHECKBOX.ACCESSIBILITY.LEGIBLE_FONT,"Use an alternative, more legible font."
TOOLTIP.CHECKBOX.ACCESSIBILITY.NEVER_GAME_OVER,"Do not game over when discovered."
TOOLTIP.CHECKBOX.ACCESSIBILITY.REDUCED_MOTION,"Turn off unnecessary motion effects."
TOOLTIP.CHECKBOX.ACCESSIBILITY.TOOLTIPS,"Show descriptive text for menu options."
TOOLTIP.CHECKBOX.ADVANCED.READABLE_SAVES,"Save progress to human-readable save files."
TOOLTIP.CHECKBOX.AUDIO.MUTE,"Turn off all sound."
TOOLTIP.CHECKBOX.DEBUG.OPTIMIZE_NIGHTSCRIPT,"Optimize NightScript programs in debug mode."
TOOLTIP.CHECKBOX.DISPLAY.DISPLAY_BARKS,"Display subtitles for guard actions."
TOOLTIP.CHECKBOX.DISPLAY.FULLSCREEN,"Make the window fill the entire screen."
TOOLTIP.CHECKBOX.DISPLAY.PIXEL_SNAP,"Draw the game at a limited resoluton."
TOOLTIP.CHECKBOX.DISPLAY.VSYNC,"Stop screen tearing at the cost of higher latency."
TOOLTIP.CONTROL.CHANGE_PLAYER,"Change the control for changing the player."
TOOLTIP.CONTROL.INTERACT,"Change the control for interacting with objects and menus."
TOOLTIP.CONTROL.MOVE_DOWN,"Change the control for moving down."
TOOLTIP.CONTROL.MOVE_LEFT,"Change the control for moving left."
TOOLTIP.CONTROL.MOVE_RIGHT,"Change the control for moving right."
TOOLTIP.CONTROL.MOVE_UP,"Change the control for moving up."
TOOLTIP.CONTROL.PAUSE,"Change the control for pausing the game and exiting menus."
TOOLTIP.CONTROL.TOGGLE_FULLSCREEN,"Change the control for toggling fullscreen mode."
TOOLTIP.OPTION.ACCESSIBILITY.COLOR_GRADING,"Change how colors are displayed."
TOOLTIP.OPTION.DISPLAY.SCALE_MODE,"Change how the game fills the window."
TOOLTIP.OPTION.DISPLAY.WINDOW_SCALE,"Change the size of the window."
TOOLTIP.OPTION.LANGUAGE.LOCALE,"Change the language."
TOOLTIP.SLIDER.ACCESSIBILITY.PAUSE_OPACITY,"Change the opacity of the pause menu's background."
TOOLTIP.SLIDER.ACCESSIBILITY.RADAR_OPACITY,"Change the opacity of the radar display's background."
TOOLTIP.SLIDER.ACCESSIBILITY.RADAR_SCALE,"Change the size of the radar display."
TOOLTIP.SLIDER.AUDIO.MASTER_VOLUME,"Change the overall volume."
TOOLTIP.SLIDER.AUDIO.MUSIC_VOLUME,"Change the volume of music."
TOOLTIP.SLIDER.AUDIO.SFX_VOLUME,"Change the volume of sound effects and menus."
